File Name, BVH Uploaded, FBX Uploaded, Description, Motion Capture Class, Origin, Licence Details
05_06,TRUE,TRUE,"dance - cartwheel-like start, pirouettes, jete",,CMU,
05_07,TRUE,TRUE,"dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn",,CMU,
05_08,TRUE,TRUE,"dance - rond de jambe in the air, jete, turn",,CMU,
05_09,TRUE,TRUE,"dance - glissade devant, glissade derriere, attitude/arabesque",,CMU,
05_10,TRUE,TRUE,"dance - glissade devant, glissade derriere, attitude/arabesque",,CMU,
05_11,TRUE,TRUE,"dance - sideways steps, pirouette",,CMU,
05_12,TRUE,TRUE,"dance - arms held high, pointe tendue a terre, upper body rotation",,CMU,
05_13,TRUE,TRUE,"dance - small jetes, pirouette",,CMU,
05_14,TRUE,TRUE,"dance - retire derriere, attitude/arabesque",,CMU,
05_15,TRUE,TRUE,"dance - retire derriere, attitude/arabesque",,CMU,
05_16,TRUE,TRUE,"dance - coupe dessous, jete en tourant",,CMU,
05_17,TRUE,TRUE,"dance - coupe dessous, grand jete en tourant",,CMU,
05_18,TRUE,TRUE,"dance - attitude/arabesque, jete en tourant, bending back",,CMU,
05_19,TRUE,TRUE,"dance - attitude/arabesque, jete en tourant, bending back",,CMU,
05_20,TRUE,TRUE,"dance - attitude/arabesque, jete en tourant, bending back",,CMU,
06_01,TRUE,TRUE,walk,,CMU,
06_02,TRUE,TRUE,basketball - forward dribble,,CMU,
06_03,TRUE,TRUE,basketball - forward dribble,,CMU,
06_04,TRUE,TRUE,basketball - forward dribble,,CMU,
06_05,TRUE,TRUE,basketball - forward dribble,,CMU,
06_06,TRUE,TRUE,basketball - backward dribble,,CMU,
06_07,TRUE,TRUE,basketball - backward dribble,,CMU,
06_08,TRUE,TRUE,basketball - sideways dribble,,CMU,
06_09,TRUE,TRUE,basketball - sideways dribble,,CMU,
06_10,TRUE,TRUE,"basketball - forward dribble, 90-degree left turns",,CMU,
06_11,TRUE,TRUE,"basketball - forward dribble, 90-degree right turns",,CMU,
06_12,TRUE,TRUE,"basketball - forward dribble, 90-degree right turns, crossover dribble",,CMU,
06_13,TRUE,TRUE,"basketball - low, fast free style dribble, dribble through legs",,CMU,
06_14,TRUE,TRUE,"basketball - crossover dribble, shoot",,CMU,
06_15,TRUE,TRUE,"basketball - dribble, shoot",,CMU,
07_01,TRUE,TRUE,walk,,CMU,
07_02,TRUE,TRUE,walk,,CMU,
07_03,TRUE,TRUE,walk,,CMU,
07_04,TRUE,TRUE,slow walk,,CMU,
07_05,TRUE,TRUE,slow walk,,CMU,
07_06,TRUE,TRUE,walk,,CMU,
07_07,TRUE,TRUE,walk,,CMU,
07_08,TRUE,TRUE,walk,,CMU,
07_09,TRUE,TRUE,walk,,CMU,
07_10,TRUE,TRUE,walk,,CMU,
07_11,TRUE,TRUE,walk,,CMU,
07_12,TRUE,TRUE,brisk walk,,CMU,
08_01,TRUE,TRUE,walk,,CMU,
08_02,TRUE,TRUE,walk,,CMU,
08_03,TRUE,TRUE,walk,,CMU,
08_04,TRUE,TRUE,slow walk,,CMU,
08_05,TRUE,TRUE,walk/stride,,CMU,
08_06,TRUE,TRUE,walk,,CMU,
08_07,TRUE,TRUE,"walk, exaggerated stride",,CMU,
08_08,TRUE,TRUE,walk,,CMU,
08_09,TRUE,TRUE,walk,,CMU,
08_10,TRUE,TRUE,walk,,CMU,
08_11,TRUE,TRUE,slow walk/stride,,CMU,
09_01,TRUE,TRUE,run,,CMU,
09_02,TRUE,TRUE,run,,CMU,
09_03,TRUE,TRUE,run,,CMU,
09_04,TRUE,TRUE,run,,CMU,
09_05,TRUE,TRUE,run,,CMU,
09_06,TRUE,TRUE,run,,CMU,
09_07,TRUE,TRUE,run,,CMU,
09_08,TRUE,TRUE,run,,CMU,
09_09,TRUE,TRUE,run,,CMU,
09_10,TRUE,TRUE,run,,CMU,
09_11,TRUE,TRUE,run,,CMU,
09_12,TRUE,TRUE,"navigate - walk forward, backward, sideways",,CMU,
10_01,TRUE,TRUE,soccer - kick ball,,CMU,
10_02,TRUE,TRUE,soccer - kick ball,,CMU,
10_03,TRUE,TRUE,soccer - kick ball,,CMU,
10_04,TRUE,TRUE,walk,,CMU,
10_05,TRUE,TRUE,soccer - kick ball,,CMU,
